stop_name,latitude,longitude
LGT TEBALDI/ARMATA,41.895075,12.468432
CASSIA/ORIOLO ROMANO,41.957453,12.457728
FIUME GIALLO/CIVICO 257,41.814218,12.433077
FIUME GIALLO/CIVICO 196,41.813232,12.429430
CASSIA/S. GODENZO,41.960029,12.452645
FIUME GIALLO/CIVICO 82,41.810185,12.428691
FIUME GIALLO/CIVICO 13,41.808505,12.429540
GREGORIO VII/RANUCCI,41.896195,12.449352
CASSIA/VILLA S. PIETRO (H),41.962730,12.447768
CASSIA/S. GODENZO,41.960154,12.451992
GREGORIO VII/S. DAMASO,41.895832,12.444757
CASSIA/S. GIOVANNA ELISABETTA,41.957149,12.455944
GREGORIO VII/DI PIETRO,41.896421,12.441505
GREGORIO VII/ANASTASIO II,41.895125,12.438762
SCIANGAI,41.807328,12.431429
GIOLITTI,41.897562,12.505315
TEMPIO DEL CIELO,41.807054,12.433857
BEATA VERGINE DEL CARMELO/MONTE TAI,41.807114,12.436150
C.SO FRANCIA/VIGNA STELLUTI,41.945992,12.469220
C.SO FRANCIA/BODIO,41.943893,12.469316
C.SO FRANCIA/PONTE FLAMINIO,41.937898,12.471211
VIMINALE,41.899801,12.494469
C.SO FRANCIA/URUGUAY,41.934840,12.471738
RINASCIMENTO,41.897272,12.474212
SENATO,41.900261,12.473907
BEATA VERGINE DEL CARMELO,41.808189,12.443453
ZANARDELLI,41.901379,12.472179
LGT MARZIO,41.903006,12.473874
VITTORIA COLONNA,41.905182,12.471719
P.ZA CAVOUR,41.905949,12.470042
CICERONE/PLINIO,41.908037,12.468196
BEATA VERGINE DEL CARMELO/MONTE TAI,41.807279,12.435885
SCIANGAI,41.807499,12.430796
FIUME GIALLO/CIVICO 13,41.808742,12.429603
FIUME GIALLO/CIVICO 82,41.810473,12.428691
L.GO TRIONFALE,41.910975,12.454843
GIULIANA/GRAZIOLI LANTE,41.913175,12.454312
GIULIANA/PRETURA,41.915204,12.453826
CLODIO,41.917520,12.455412
GIULIANA/PRETURA,41.915052,12.453725
GIULIANA/GRAZIOLI LANTE,41.912473,12.454276
L.GO TRIONFALE,41.911013,12.454666
VIGNA STELLUTI/FRANCIA,41.947357,12.467435
VIGNA STELLUTI/GIUOCHI DELFICI,41.948060,12.464029
CASSIA/PARETO,41.950620,12.460470
CASSIA/CORTINA D'AMPEZZO,41.952457,12.457445
CASSIA/VAL GARDENA,41.955666,12.457082
CASSIA/ORIOLO ROMANO,41.957206,12.457438
CASSIA/CORTINA D'AMPEZZO,41.951889,12.458079
CASSIA/PARETO,41.949835,12.461377
VIGNA STELLUTI,41.947934,12.464084
CINA/FIUME AZZURRO,41.811851,12.432928
TARANTELLI,41.818673,12.436230
ARGENTINA/BOLIVIA,41.932557,12.476364
XVII OLIMPIADE,41.932780,12.473724
XVII OLIMPIADE/AUSTRIA,41.932487,12.471394
UNIONE SOVIETICA,41.930656,12.471020
DE COUBERTIN/AUDITORIUM,41.930178,12.475751
GUIDUBALDO DEL MONTE,41.927937,12.478769
STAZ.NE EUCLIDE,41.927536,12.481929
PARIOLI/ACQUA ACETOSA,41.929598,12.484395
PARIOLI/STUPARICH,41.929053,12.485918
PARIOLI/SANTIAGO DEL CILE,41.926152,12.486395
BIOPARCO/MERCADANTE,41.918517,12.490936
DECIMA/PIANETA TERRA,41.818847,12.446165
TARTINI,41.916356,12.495382
SALARIA/ISONZO,41.913307,12.497501
SALARIA/ANIENE,41.911851,12.497851
PIAVE/XX SETTEMBRE,41.907708,12.498681
INDIPENDENZA,41.904705,12.501936
TERMINI (MA-MB-FS),41.900996,12.499727
S. MARIA MAGGIORE,41.896967,12.498195
P.ZA VITTORIO EMANUELE (MA),41.893947,12.503727
CONTE VERDE/P.ZA VITTORIO EMANUELE,41.893442,12.506173
VIA S. CROCE IN GERUSALEMME/MANZONI,41.891750,12.509209
VIA S. CROCE IN GERUSALEMME/STATILIA,41.890073,12.512244
VIA S. CROCE IN GERUSALEMME,41.888872,12.514318
LA SPEZIA/LODI,41.887088,12.520771
ALGHERO,41.886344,12.521508
VILLA FIORELLI,41.884221,12.522447
PIANETA TERRA/PIANETA GIOVE,41.817432,12.445010
LEPANTO (MA),41.911844,12.465744
PIANETA SATURNO,41.815939,12.444784
CICERONE/PLINIO,41.907556,12.468343
CICERONE/CAVOUR,41.906095,12.469165
VITTORIA COLONNA,41.905019,12.472306
RIPETTA,41.904049,12.475226
MONTE BRIANZO,41.902802,12.474041
COSTELLAZIONI/PIANETA GIOVE,41.815110,12.446617
RINASCIMENTO,41.897997,12.473921
COSTELLAZIONI/ORSA MAGGIORE,41.814708,12.449387
ESQUILINO/CAVOUR,41.898418,12.496627
RATTAZZI/GIOLITTI,41.898068,12.503705
RATTAZZI/NAPOLEONE III,41.896345,12.501978
DE LOLLIS/IRPINI,41.900984,12.515708
MARRUCINI,41.899931,12.513981
TIBURTINA/MARRUCINI,41.898216,12.513926
DECIMA/COMETE,41.810730,12.453800
MARSALA,41.898893,12.507985
CAVOUR/ESQUILINO,41.897982,12.496662
PANISPERNA,41.897167,12.494583
MILANO,41.897093,12.492502
MILANO/NAZIONALE,41.898500,12.490817
TRITONE/FONTANA TREVI,41.902673,12.484624
TRAFORO/TRITONE,41.902197,12.486187
MILANO/NAZIONALE,41.899180,12.489735
DECIMA/COMETE,41.809676,12.453863
TROIANI/DECIMA,41.812969,12.451795
TROIANI/COSTELLAZIONI,41.812438,12.450555
COSTELLAZIONI/ORSA MAGGIORE,41.815168,12.448949
TIBURTINA/MARRUCINI,41.898905,12.515495
TIBURTINA/RETI,41.899575,12.516821
INDIPENDENZA,41.904177,12.502842
PIANETA GIOVE,41.815539,12.446649
PIANETA TERRA/PIANETA GIOVE,41.817376,12.445236
DANDOLO/GLORIOSO,41.884268,12.468063
DANDOLO,41.885251,12.466512
FABRIZI,41.886238,12.464785
CALANDRELLI,41.885020,12.463012
PIANETA TERRA/DECIMA,41.818292,12.446548
CARINI/PILO,41.882304,12.460705
BARRILI,41.879826,12.460577
POERIO,41.876092,12.461113
POERIO/F.LLI BANDIERA,41.880647,12.463343
POERIO/DALL'ONGARO,41.878132,12.463139
QUADRIO,41.881881,12.461272
BONNET/CARINI,41.885038,12.461361
DANDOLO/FABRIZI,41.886195,12.465635
DANDOLO/CASINI,41.883477,12.466449
GRANDE MURAGLIA/OCEANO PACIFICO,41.823697,12.455920
GRANDE MURAGLIA/ROTTERDAM,41.820532,12.454167
GRANDE MURAGLIA/SIVIGLIA,41.819046,12.451469
GATTAMELATA/CANE,41.888295,12.536681
GATTAMELATA/DI BASTELICA,41.890049,12.536628
GRANDE MURAGLIA/DECIMA,41.816722,12.447505
P.LE PRENESTINO,41.891364,12.527617
AQUILA,41.890648,12.525410
PONTE CASILINO,41.889265,12.523006
LA SPEZIA/LODI,41.887061,12.519805
PORTA S. GIOVANNI (MA),41.886329,12.509009
COLOSSEO (MB),41.891258,12.491460
FORI IMPERIALI,41.893658,12.486485
FORI IMPERIALI/CAMPIDOGLIO,41.894988,12.484179
LGT MARZIO/PORTO DI RIPETTA,41.904252,12.474901
P.ZA COLA DI RIENZO,41.908452,12.467078
COLA DI RIENZO/REGOLO,41.907869,12.464622
COLA DI RIENZO/TERENZIO,41.907314,12.462357
COLA DI RIENZO/CATONE,41.906575,12.459467
RISORGIMENTO,41.906181,12.458375
COLA DI RIENZO/CATONE,41.906481,12.459547
COLA DI RIENZO/TERENZIO,41.907406,12.463483
COLA DI RIENZO/TACITO,41.908183,12.466532
MARIA ADELAIDE,41.909806,12.474345
PASSEGGIATA RIPETTA,41.908838,12.474259
AUGUSTO IMPERATORE,41.905312,12.477298
TOMACELLI,41.904595,12.477738
CORSO/L.GO CHIGI,41.901825,12.479963
GRANDE MURAGLIA/PIANETA SATURNO,41.814950,12.444626
CAVOUR/RICCI,41.893640,12.488968
FORI IMPERIALI,41.893321,12.486877
GRANDE MURAGLIA/PIANETA SATURNO,41.814748,12.444730
LABICANA/COLOSSEO,41.890237,12.495126
LABICANA/MERULANA,41.889103,12.502846
GRANDE MURAGLIA/DECIMA,41.816570,12.447657
PORTA S. GIOVANNI (MA),41.886688,12.508507
P.LE APPIO (MA),41.885565,12.509536
PONTE CASILINO,41.888424,12.522559
CASILINA/S. ELENA,41.887139,12.526014
GRANDE MURAGLIA/SIVIGLIA,41.818722,12.451353
GRANDE MURAGLIA/ROTTERDAM,41.820438,12.454535
PRENESTINA/GIOVENALE,41.891858,12.531574
PRENESTINA/GIUSSANO,41.892168,12.534657
DAL VERME/GATTAMELATA,41.888601,12.537158
DAL VERME/DEGLI UBERTINI,41.888592,12.539621
GRANDE MURAGLIA/OCEANO PACIFICO,41.823779,12.456302
P.ZA VENEZIA,41.895989,12.482038
ARDEATINA/CECCHIGNOLA,41.822154,12.519500
S. GIOVANNI IN LATERANO/S. CLEMENTE,41.888698,12.498453
S. GIOVANNI IN LATERANO,41.888126,12.500357
PZA S. GIOVANNI IN LATERANO (H),41.887012,12.504399
PORTA S. GIOVANNI (MA),41.886403,12.507857
TARANTO/PONTREMOLI,41.884980,12.512580
TARANTO/AOSTA,41.884332,12.515427
TARANTO/CASALMAGGIORE,41.883805,12.517725
TARANTO/LUGO,41.882881,12.521015
RAGUSA,41.881759,12.522261
MONSELICE/STAZIONE TUSCOLANA,41.879940,12.522428
TUSCOLANA/GELA,41.879098,12.522111
TUSCOLANA/AMELIA,41.877455,12.524655
